JournalName,ImpactFactor2020,Source,Type
Academic Pediatrics,2.007,ImpactFactorListJournals,OpenAccess
Acta Orthopaedica,3.217,ImpactFactorListJournals,OpenAccess
Advances in Medical Sciences,2.08,ImpactFactorListJournals,OpenAccess
Aesthetic Surgery Journal,3.48,ImpactFactorListJournals,OpenAccess
American Journal of Clinical Dermatology,3.84,ImpactFactorListJournals,OpenAccess
American Journal of Clinical Pathology,1.962,ImpactFactorListJournals,OpenAccess
American journal of nursing,1.234,ImpactFactorListJournals,OpenAccess
American Journal of Obstetrics and Gynecology,6.12,ImpactFactorListJournals,OpenAccess
American Journal of Ophthalmology,4.795,ImpactFactorListJournals,OpenAccess
American Journal of Pathology,3.762,ImpactFactorListJournals,OpenAccess
Analytical Cellular Pathology,1.788,ImpactFactorListJournals,OpenAccess
Anatolian Journal of Cardiology,1.112,ImpactFactorListJournals,OpenAccess
Annals of Anatomy,2.241,ImpactFactorListJournals,OpenAccess
Annals of microbiology,1.431,ImpactFactorListJournals,OpenAccess
Annals of Pediatric Cardiology,,ImpactFactorListJournals,OpenAccess
Annals of Saudi Medicine,0.808,ImpactFactorListJournals,OpenAccess
Annual Review of Microbiology,10.242,ImpactFactorListJournals,OpenAccess
Archives of Dermatological Research,2.309,ImpactFactorListJournals,OpenAccess
Asian Pacific Journal of Tropical Medicine,1.772,ImpactFactorListJournals,OpenAccess
BMC dermatology,0.603,ImpactFactorListJournals,OpenAccess
BMC public health,2.567,ImpactFactorListJournals,OpenAccess
Brain pathology,6.155,ImpactFactorListJournals,OpenAccess
British Journal of Anaesthesia,6.199,ImpactFactorListJournals,OpenAccess
British Journal of Dermatology,6.714,ImpactFactorListJournals,OpenAccess
British Journal of Ophthalmology,3.384,ImpactFactorListJournals,OpenAccess
Canadian Journal of Infectious Diseases and Medical Microbiology,1.4,ImpactFactorListJournals,OpenAccess
Cardiovascular Diabetology,5.948,ImpactFactorListJournals,OpenAccess
Clinical Cardiology,2.455,ImpactFactorListJournals,OpenAccess
Clinical Diabetes and Endocrinology,1.858,ImpactFactorListJournals,OpenAccess
Clinics in Dermatology,2.067,ImpactFactorListJournals,OpenAccess
Dermatologica Sinica,0.808,ImpactFactorListJournals,OpenAccess
Development and Psychopathology,3.593,ImpactFactorListJournals,OpenAccess
Emerging Infectious Diseases,7.15,ImpactFactorListJournals,OpenAccess
Emerging microbes and infections,6.212,ImpactFactorListJournals,OpenAccess
Emerging Microbes and Infections,6.212,ImpactFactorListJournals,OpenAccess
European Journal of Public Health,2.234,ImpactFactorListJournals,OpenAccess
Experimental Dermatology,2.868,ImpactFactorListJournals,OpenAccess
Frontiers in Cellular and Infection Microbiology,3.518,ImpactFactorListJournals,OpenAccess
Frontiers in microbiology,4.259,ImpactFactorListJournals,OpenAccess
Indian Journal of Medical Research,2.061,ImpactFactorListJournals,OpenAccess
Indian journal of microbiology,1.539,ImpactFactorListJournals,OpenAccess
Indian Journal of Ophthalmology,0.977,ImpactFactorListJournals,OpenAccess
Indian Journal of Orthopaedics,0.978,ImpactFactorListJournals,OpenAccess
Indian Journal of Pediatrics,1.136,ImpactFactorListJournals,OpenAccess
Indian Journal of Psychiatry,1.061,ImpactFactorListJournals,OpenAccess
Indian Pediatrics,1.163,ImpactFactorListJournals,OpenAccess
Infectious diseases of poverty,3.063,ImpactFactorListJournals,OpenAccess
International Journal of Nanomedicine,4.383,ImpactFactorListJournals,OpenAccess
International Journal of Surgery,3.158,ImpactFactorListJournals,OpenAccess
JAMA Ophthalmology,6.167,ImpactFactorListJournals,OpenAccess
Journal of advanced research,5.045,ImpactFactorListJournals,OpenAccess
Journal of Ayurveda and integrative medicine,0.816,ImpactFactorListJournals,OpenAccess
Journal of Clinical Anesthesia,3.542,ImpactFactorListJournals,OpenAccess
Journal of clinical pathology,2.346,ImpactFactorListJournals,OpenAccess
Journal of Dermatological Science,3.986,ImpactFactorListJournals,OpenAccess
Journal of diabetes investigation,3.902,ImpactFactorListJournals,OpenAccess
Journal of Diabetes Research,2.885,ImpactFactorListJournals,OpenAccess
Journal of Food Science,2.018,ImpactFactorListJournals,OpenAccess
Journal of Investigative Dermatology,6.29,ImpactFactorListJournals,OpenAccess
Journal of medical case reports,0.509,ImpactFactorListJournals,OpenAccess
Journal of neuroscience,6.074,ImpactFactorListJournals,OpenAccess
Journal of Ophthalmology,1.58,ImpactFactorListJournals,OpenAccess
Journal of Orthopaedics,0.649,ImpactFactorListJournals,OpenAccess
Journal of pathology Clinical research,3.489,ImpactFactorListJournals,OpenAccess
Journal of Public Health,2.246,ImpactFactorListJournals,OpenAccess
Journal of Pure and Applied Microbiology,0.157,ImpactFactorListJournals,OpenAccess
Journal of the American Academy of Dermatology,7.102,ImpactFactorListJournals,OpenAccess
Journal of the American College of Surgeons,4.45,ImpactFactorListJournals,OpenAccess
Medical Journal Armed Forces India,0.55,ImpactFactorListJournals,OpenAccess
Modern pathology,6.655,ImpactFactorListJournals,OpenAccess
Molecular Cancer,10.679,ImpactFactorListJournals,OpenAccess
Nutrition and Diabetes,3.528,ImpactFactorListJournals,OpenAccess
Public Health Reports,2.039,ImpactFactorListJournals,OpenAccess
Survey of Ophthalmology,3.959,ImpactFactorListJournals,OpenAccess
The American Journal of Psychiatry,13.655,ImpactFactorListJournals,OpenAccess
The American Journal of Surgery,2.201,ImpactFactorListJournals,OpenAccess
The american journal of surgical pathology,5.145,ImpactFactorListJournals,OpenAccess
The Journal of Bone and Joint Surgery,4.84,ImpactFactorListJournals,OpenAccess
British Dental Journal,1.438,ImpactFactorListJournals,OpenAccess
Clinical Oral Implants Research,3.825,ImpactFactorListJournals,OpenAccess
Japanese Dental Science Review,0.978,ImpactFactorListJournals,OpenAccess
Journal of Clinical Periodontology,4.046,ImpactFactorListJournals,OpenAccess
Journal of Dentistry,3.77,ImpactFactorListJournals,OpenAccess
Journal of Endodontics,2.833,ImpactFactorListJournals,OpenAccess
Journal of Esthetic and Restorative Dentistry,1.716,ImpactFactorListJournals,OpenAccess
Journal of oral biology and craniofacial research,1.011,ImpactFactorListJournals,OpenAccess
Journal of oral biosciences,0.254,ImpactFactorListJournals,OpenAccess
Journal of Oral Microbiology,4.444,ImpactFactorListJournals,OpenAccess
Journal of the american dental association,2.572,ImpactFactorListJournals,OpenAccess
American journal of forensic medicine and pathology,0.539,ImpactFactorListJournals,OpenAccess
Bangladesh Journal of Pharmacology,0.811,ImpactFactorListJournals,OpenAccess
Indian journal of pharmaceutical sciences,0.634,ImpactFactorListJournals,OpenAccess
Indian Journal of Pharmacology,1.04,ImpactFactorListJournals,OpenAccess
International journal of clinical pharmacy,1.692,ImpactFactorListJournals,OpenAccess
Journal of Forensic and Legal Medicine,1.339,ImpactFactorListJournals,OpenAccess
Journal of managed care and specialty pharmacy,3.02,ImpactFactorListJournals,OpenAccess
Journal of Oncology Practice,3.551,ImpactFactorListJournals,OpenAccess
Journal of pharmaceutical and biomedical analysis,2.983,ImpactFactorListJournals,OpenAccess
Pharmaceutical Chemistry Journal,0.51,ImpactFactorListJournals,OpenAccess
Pharmaceutical patent analyst,2.321,ImpactFactorListJournals,OpenAccess
Sustainable chemistry and pharmacy,2.404,ImpactFactorListJournals,OpenAccess
The american journal of medicine,4.76,ImpactFactorListJournals,OpenAccess
Computational and Structural Biotechnology Journal,4.72,ImpactFactorListJournals,OpenAccess
IEEE Communications Surveys and Tutorials,22.973,ImpactFactorListJournals,OpenAccess
IEEE Transactions on Computers,3.131,ImpactFactorListJournals,OpenAccess
IEEE Transactions on Pattern Analysis and Machine Intelligence,17.73,ImpactFactorListJournals,OpenAccess
Journal of Big Data,1.124,ImpactFactorListJournals,OpenAccess
Journal of the ACM,2.17,ImpactFactorListJournals,OpenAccess
NPJ Quantum Information,9.181,ImpactFactorListJournals,OpenAccess
Procedia computer science,0.883,ImpactFactorListJournals,OpenAccess
Australasian Journal of Educational Technology,1.171,ImpactFactorListJournals,OpenAccess
ACS Applied Materials and Interfaces,8.456,ImpactFactorListJournals,OpenAccess
Advanced Materials,25.809,ImpactFactorListJournals,OpenAccess
Advanced materials interfaces,4.713,ImpactFactorListJournals,OpenAccess
Annual Review of Materials Research,16.816,ImpactFactorListJournals,OpenAccess
Journal of Materials Science,2.993,ImpactFactorListJournals,OpenAccess
Materials Today,24.372,ImpactFactorListJournals,OpenAccess
Nature Materials,38.887,ImpactFactorListJournals,OpenAccess
Arabian journal for science and engineering,1.518,ImpactFactorListJournals,OpenAccess
IETE journal of research,0.829,ImpactFactorListJournals,OpenAccess
International Journal of Building Performance Simulation,3.458,ImpactFactorListJournals,OpenAccess
Journal of Environmental Chemical Engineering,1.198,ImpactFactorListJournals,OpenAccess
Polymer engineering and science,1.92,ImpactFactorListJournals,OpenAccess
Advances in Physics,30.917,ImpactFactorListJournals,OpenAccess
Phytomedicine International Journal of Phytotherapy and Phytopharmacology,3.61,ImpactFactorListJournals,OpenAccess
Antioxidants and Redox Signaling,6.53,ImpactFactorListJournals,OpenAccess
BMC chemistry,2.094,ImpactFactorListJournals,OpenAccess
Journal of Chemical Education,1.385,ImpactFactorListJournals,OpenAccess
Journal of Chemical Sciences,1.496,ImpactFactorListJournals,OpenAccess
Journal of Chemistry,1.727,ImpactFactorListJournals,OpenAccess
Journal of Organic Chemistry,4.335,ImpactFactorListJournals,OpenAccess
New journal of chemistry,3.069,ImpactFactorListJournals,OpenAccess
American Journal of Transplantation,6.493,ImpactFactorListJournals,OpenAccess
Indian journal of surgery,0.55,ImpactFactorListJournals,OpenAccess
JAMA Surgery,10.7,ImpactFactorListJournals,OpenAccess
Acta Agriculturae Scandinavica Section A Animal Science,0.42,ImpactFactorListJournals,OpenAccess
Agriculture and human values,3.128,ImpactFactorListJournals,OpenAccess
Indian Journal of Agricultural Biochemistry,0.125,ImpactFactorListJournals,OpenAccess
journal of agricultural economics,1.545,ImpactFactorListJournals,OpenAccess
Journal of integrative agriculture,1.337,ImpactFactorListJournals,OpenAccess
Academy of Management Journal,7.191,ImpactFactorListJournals,OpenAccess
Academy of Management Learning and Education,2.866,ImpactFactorListJournals,OpenAccess
Academy of Management Review,10.632,ImpactFactorListJournals,OpenAccess
Accounting Organizations and Society,3.147,ImpactFactorListJournals,OpenAccess
European Management Journal,2.985,ImpactFactorListJournals,OpenAccess
Journal of Business Research,4.747,ImpactFactorListJournals,OpenAccess
Journal of International Business Studies,7.724,ImpactFactorListJournals,OpenAccess
Journal of International Economics,2.216,ImpactFactorListJournals,OpenAccess
Journal of management,9.056,ImpactFactorListJournals,OpenAccess
Animal Nutrition and Feed Technology,0.291,ImpactFactorListJournals,OpenAccess
Animal Production Science,1.275,ImpactFactorListJournals,OpenAccess
Journal of Animal Science,1.697,ImpactFactorListJournals,OpenAccess
Annual review of statistics and its application,3.857,ImpactFactorListJournals,OpenAccess
Australian and New Zealand journal of statistics,0.642,ImpactFactorListJournals,OpenAccess
Journal of statistical software,3.801,ImpactFactorListJournals,OpenAccess
The American Statistician,5.381,ImpactFactorListJournals,OpenAccess
Journal of Marine Science and Technology,1.845,ImpactFactorListJournals,OpenAccess
Science and technology of advanced materials,3.585,ImpactFactorListJournals,OpenAccess
American Journal of Sociology,3.764,ImpactFactorListJournals,OpenAccess
European journal of research methods for the behavioral and social sciences,0.9,ImpactFactorListJournals,OpenAccess
The Social Science Journal,1.071,ImpactFactorListJournals,OpenAccess
Biotechnology Advances,12.831,ImpactFactorListJournals,OpenAccess
Nature Biotechnology,31.864,ImpactFactorListJournals,OpenAccess
Annals of Botany,3.454,ImpactFactorListJournals,OpenAccess
Aquatic Botany,2.143,ImpactFactorListJournals,OpenAccess
Australian Journal of Botany,1.586,ImpactFactorListJournals,OpenAccess
Australian Systematic Botany,1.039,ImpactFactorListJournals,OpenAccess
Botany letters,0.883,ImpactFactorListJournals,OpenAccess
Pakistan Journal of Botany,0.75,ImpactFactorListJournals,OpenAccess
Plant Biotechnology Journal,6.84,ImpactFactorListJournals,OpenAccess
Journal of cleaner production,6.395,ImpactFactorListJournals,OpenAccess
Journal of Environmental Sciences,3.556,ImpactFactorListJournals,OpenAccess
Nature Communications,11.878,ImpactFactorListJournals,OpenAccess
Scientific Reports,4.011,ImpactFactorListJournals,OpenAccess
Life Sciences Society and Policy,1.222,ImpactFactorListJournals,OpenAccess
Biochemistry,2.952,ImpactFactorListJournals,OpenAccess
Contemporary accounting research,2.261,ImpactFactorListJournals,OpenAccess
Cell and Tissue Banking,1.939,ImpactFactorListJournals,OpenAccess
Journal of Banking and Finance,2.205,ImpactFactorListJournals,OpenAccess
Journal of Finance,6.201,ImpactFactorListJournals,OpenAccess
Food and Energy Security,4.781,ImpactFactorListJournals,OpenAccess
Journal of food and drug analysis,4.176,ImpactFactorListJournals,OpenAccess
Journal of Wildlife Management,1.881,ImpactFactorListJournals,OpenAccess
Journal of Business Ethics,3.796,ImpactFactorListJournals,OpenAccess
Advances in Nursing Science,1.311,ImpactFactorListJournals,OpenAccess
International journal of nursing studies,3.57,ImpactFactorListJournals,OpenAccess
Journal of Diabetes Research,,IndexedJournalsList,OpenAccess
Journal of Materials Science,,IndexedJournalsList,OpenAccess
The Lancet,,IndexedJournalsList,OpenAccess
Indian Journal of Medical Research,,IndexedJournalsList,OpenAccess
Australasian Journal of Educational Technology,,IndexedJournalsList,OpenAccess
Phytomedicine International Journal of Phytotherapy and Phytopharmacology,,IndexedJournalsList,OpenAccess
Antioxidants and Redox Signaling,,IndexedJournalsList,OpenAccess
Journal of Food Science,,IndexedJournalsList,OpenAccess
American Journal of Transplantation,,IndexedJournalsList,OpenAccess
Journal of Dentistry,,IndexedJournalsList,OpenAccess
Journal of Public Health,,IndexedJournalsList,OpenAccess
International Journal of Nanomedicine,,IndexedJournalsList,OpenAccess
Acta Agriculturae Scandinavica Section A Animal Science,,IndexedJournalsList,OpenAccess
Indian Journal of Psychiatry,,IndexedJournalsList,OpenAccess
Annals of Pediatric Cardiology,,IndexedJournalsList,OpenAccess
Dermatologica Sinica,,IndexedJournalsList,OpenAccess
Indian Journal of Ophthalmology,,IndexedJournalsList,OpenAccess
Indian Journal of Orthopaedics,,IndexedJournalsList,OpenAccess
Indian Journal of Pharmacology,,IndexedJournalsList,OpenAccess
Canadian Journal of Infectious Diseases and Medical Microbiology,,IndexedJournalsList,OpenAccess
Indian Journal of Pediatrics,,IndexedJournalsList,OpenAccess
Journal of Endodontics,,IndexedJournalsList,OpenAccess
Animal Nutrition and Feed Technology,,IndexedJournalsList,OpenAccess
Indian Journal of Agricultural Biochemistry,,IndexedJournalsList,OpenAccess
Academic Pediatrics,,IndexedJournalsList,OpenAccess
Academy of Management Learning and Education,,IndexedJournalsList,OpenAccess
Indian Pediatrics,,IndexedJournalsList,OpenAccess
Journal of Pure and Applied Microbiology,,IndexedJournalsList,OpenAccess
Journal of Clinical Periodontology,,IndexedJournalsList,OpenAccess
The Journal of Pediatrics,,IndexedJournalsList,OpenAccess
Aesthetic Surgery Journal,,IndexedJournalsList,OpenAccess
Journal of Ophthalmology,,IndexedJournalsList,OpenAccess
journal of agricultural economics,,IndexedJournalsList,OpenAccess
Annals of Saudi Medicine,,IndexedJournalsList,OpenAccess
Bangladesh Journal of Pharmacology,,IndexedJournalsList,OpenAccess
Journal of Oral Microbiology,,IndexedJournalsList,OpenAccess
The Journal of Bone and Joint Surgery,,IndexedJournalsList,OpenAccess
Annals of Anatomy,,IndexedJournalsList,OpenAccess
Clinical Oral Implants Research,,IndexedJournalsList,OpenAccess
Journal of Ayurveda and integrative medicine,,IndexedJournalsList,OpenAccess
American Journal of Pathology,,IndexedJournalsList,OpenAccess
Analytical Cellular Pathology,,IndexedJournalsList,OpenAccess
American Journal of Obstetrics and Gynecology,,IndexedJournalsList,OpenAccess
Acta Orthopaedica,,IndexedJournalsList,OpenAccess
Anatolian Journal of Cardiology,,IndexedJournalsList,OpenAccess
The american journal of surgical pathology,,IndexedJournalsList,OpenAccess
The Journal of pathology,,IndexedJournalsList,OpenAccess
Development and Psychopathology,,IndexedJournalsList,OpenAccess
Modern pathology,,IndexedJournalsList,OpenAccess
Brain pathology,,IndexedJournalsList,OpenAccess
American Journal of Clinical Pathology,,IndexedJournalsList,OpenAccess
Journal of clinical pathology,,IndexedJournalsList,OpenAccess
BMC public health,,IndexedJournalsList,OpenAccess
Public Health Reports,,IndexedJournalsList,OpenAccess
European Journal of Public Health,,IndexedJournalsList,OpenAccess
Pharmaceutical Chemistry Journal,,IndexedJournalsList,OpenAccess
Journal of Esthetic and Restorative Dentistry,,IndexedJournalsList,OpenAccess
JAMA Ophthalmology,,IndexedJournalsList,OpenAccess
American Journal of Ophthalmology,,IndexedJournalsList,OpenAccess
British Journal of Ophthalmology,,IndexedJournalsList,OpenAccess
Survey of Ophthalmology,,IndexedJournalsList,OpenAccess
The American Journal of Psychiatry,,IndexedJournalsList,OpenAccess
World Journal of Surgery,,IndexedJournalsList,OpenAccess
Nature Biotechnology,,IndexedJournalsList,OpenAccess
Biotechnology Advances,,IndexedJournalsList,OpenAccess
Plant Biotechnology Journal,,IndexedJournalsList,OpenAccess
The Social Science Journal,,IndexedJournalsList,OpenAccess
American Journal of Sociology,,IndexedJournalsList,OpenAccess
Journal of management,,IndexedJournalsList,OpenAccess
European Management Journal,,IndexedJournalsList,OpenAccess
The american journal of medicine,,IndexedJournalsList,OpenAccess
The American Statistician,,IndexedJournalsList,OpenAccess
Australian and New Zealand journal of statistics,,IndexedJournalsList,OpenAccess
Journal of statistical software,,IndexedJournalsList,OpenAccess
Sustainable chemistry and pharmacy,,IndexedJournalsList,OpenAccess
Journal of managed care and specialty pharmacy,,IndexedJournalsList,OpenAccess
Pharmaceutical patent analyst,,IndexedJournalsList,OpenAccess
International journal of clinical pharmacy,,IndexedJournalsList,OpenAccess
Journal of integrative agriculture,,IndexedJournalsList,OpenAccess
Animal Production Science,,IndexedJournalsList,OpenAccess
Science and technology of advanced materials,,IndexedJournalsList,OpenAccess
Emerging Infectious Diseases,,IndexedJournalsList,OpenAccess
Infectious diseases of poverty,,IndexedJournalsList,OpenAccess
Emerging microbes and infections,,IndexedJournalsList,OpenAccess
Frontiers in microbiology,,IndexedJournalsList,OpenAccess
Frontiers in Cellular and Infection Microbiology,,IndexedJournalsList,OpenAccess
BMC dermatology,,IndexedJournalsList,OpenAccess
Journal of Investigative Dermatology,,IndexedJournalsList,OpenAccess
Experimental Dermatology,,IndexedJournalsList,OpenAccess
British Journal of Dermatology,,IndexedJournalsList,OpenAccess
Archives of Dermatological Research,,IndexedJournalsList,OpenAccess
Journal of the American Academy of Dermatology,,IndexedJournalsList,OpenAccess
Clinics in Dermatology,,IndexedJournalsList,OpenAccess
American Journal of Clinical Dermatology,,IndexedJournalsList,OpenAccess
Journal of Dermatological Science,,IndexedJournalsList,OpenAccess
Cardiovascular Diabetology,,IndexedJournalsList,OpenAccess
Clinical Diabetes and Endocrinology,,IndexedJournalsList,OpenAccess
Journal of diabetes investigation,,IndexedJournalsList,OpenAccess
Japanese Dental Science Review,,IndexedJournalsList,OpenAccess
Nutrition and Diabetes,,IndexedJournalsList,OpenAccess
Molecular Cancer,,IndexedJournalsList,OpenAccess
British Dental Journal,,IndexedJournalsList,OpenAccess
Journal of the american dental association,,IndexedJournalsList,OpenAccess
Journal of Big Data,,IndexedJournalsList,OpenAccess
Computational and Structural Biotechnology Journal,,IndexedJournalsList,OpenAccess
The American Journal of Surgery,,IndexedJournalsList,OpenAccess
